ServiceID,ResponseTime(ms),Availability(%),ReliabilityScore,Usability(%),Credibility(%),Certification,CostSatisfaction(%),Prestige(1-5),Security(%),TrustIndex
S1,202,97.82,0.916,83.67,80.34,0,78.47,2,92.84,0.7641
S1,535,97.57,0.878,76.49,80.09,1,59.52,5,88.35,0.5123
S1,960,99.65,0.82,88.23,85.95,1,87.85,4,92.29,0.3735
S1,370,99.12,0.861,94.09,80.64,1,90.39,5,77.18,0.6829
S1,206,99.61,0.98,96.31,76.58,1,67.69,5,97.24,0.7254
S1,171,98.15,0.917,61.86,77.3,1,50.56,4,75.09,0.5584
S1,800,97.94,0.981,82.14,99.56,1,81.79,2,73.83,0.5046
S1,120,98.14,0.882,61.61,95.1,1,93.73,3,96.85,0.8809
S1,714,97.06,0.996,96.04,94.16,1,56.38,2,92.28,0.4432
S1,221,99.17,0.872,77.17,82.58,0,85.09,3,88.05,0.734
S1,566,98.05,0.951,96.02,98.09,0,63.33,3,92.14,0.5156
S1,314,97.94,0.861,67.51,71.88,1,71.78,5,70.28,0.598
S1,430,98.79,0.821,66.49,73.76,1,66.69,5,95.45,0.4805
S1,558,98.31,0.967,96.33,77.4,1,95.33,5,71.52,0.5767
S1,187,99.94,0.953,97.54,89.25,0,65.0,3,85.47,0.7035
S1,472,98.07,0.964,90.67,75.01,1,97.98,1,70.94,0.6354
S1,199,98.84,0.86,68.88,80.08,1,55.76,3,92.6,0.5783
S1,971,97.93,0.941,66.88,75.32,1,96.15,5,78.24,0.41
S1,763,99.97,0.844,89.92,93.99,1,83.04,1,83.36,0.4498
S1,230,98.34,0.802,85.39,97.28,0,63.31,1,99.55,0.6755
S1,761,98.9,0.973,94.88,95.51,1,51.3,2,92.58,0.4101
S1,408,97.38,0.905,71.07,70.82,1,57.52,5,73.38,0.4608
S1,869,99.2,0.997,71.81,79.52,1,96.52,5,98.59,0.5466
S1,443,97.81,0.877,89.27,89.13,1,74.94,1,84.18,0.4214
S1,591,98.35,0.991,70.71,70.02,1,78.86,5,95.07,0.5375
S1,513,99.65,0.923,78.5,92.39,1,91.46,3,73.88,0.6464
S1,905,99.91,0.902,80.81,96.06,1,81.2,4,73.33,0.3564
S1,485,98.27,0.861,86.77,72.33,1,60.04,4,77.91,0.5021
