task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority
900.0,1678579894.0,1678.579894,171.0,8300.0
901.0,3185141441.0,3185.141441,1279.0,6800.0
902.0,5296997950.0,5296.99795,2065.0,4700.0
903.0,1282478180.0,1282.47818,2907.0,8700.0
904.0,2883526686.0,2883.526686,1511.0,7100.0
905.0,7850791591.0,7850.791591,754.0,2100.0
906.0,5408474279.0,5408.474279,2863.0,4600.0
907.0,3895492511.0,3895.492511,1998.0,6100.0
908.0,2842305978.0,2842.305978,1361.0,7200.0
909.0,3335931576.0,3335.931576,695.0,6700.0
910.0,6060111604.0,6060.111604,2013.0,3900.0
911.0,3501420871.0,3501.420871,1324.0,6500.0
912.0,3016647143.0,3016.647143,1562.0,7000.0
913.0,4194143751.0,4194.143751,256.0,5800.0
914.0,4413936215.0,4413.936215,1409.0,5600.0
915.0,6395759595.0,6395.759595,1768.0,3600.0
916.0,5245396899.0,5245.396899,1932.0,4800.0
917.0,7017792534.0,7017.792534,2276.0,3000.0
918.0,3071905067.0,3071.905067,1324.0,6900.0
919.0,8697731129.0,8697.731129,1480.0,1300.0
920.0,5931148010.0,5931.14801,628.0,4100.0
921.0,7573243864.0,7573.243864,1343.0,2400.0
922.0,5118670156.0,5118.670156,1976.0,4900.0
923.0,3525981839.0,3525.981839,2783.0,6500.0
924.0,5560560944.0,5560.560944,2187.0,4400.0
925.0,6868873456.0,6868.873456,829.0,3100.0
926.0,4976385652.0,4976.385652,1023.0,5000.0
927.0,1124633834.0,1124.633834,1198.0,8900.0
928.0,8767399890.0,8767.39989,1970.0,1200.0
929.0,1629801787.0,1629.801787,240.0,8400.0
930.0,8036747625.0,8036.747625,1800.0,2000.0
931.0,8591137684.0,8591.137684,2277.0,1400.0
932.0,6632077207.0,6632.077207,364.0,3400.0
933.0,1718275835.0,1718.275835,2668.0,8300.0
934.0,1803753890.0,1803.75389,1605.0,8200.0
935.0,1504402604.0,1504.402604,1581.0,8500.0
936.0,9909122971.0,9909.122971,2576.0,100.0
937.0,4539952210.0,4539.95221,2270.0,5500.0
938.0,7674048081.0,7674.048081,2910.0,2300.0
939.0,1500901625.0,1500.901625,1588.0,8500.0
940.0,5513786390.0,5513.78639,2845.0,4500.0
941.0,3911825567.0,3911.825567,1362.0,6100.0
942.0,5287229752.0,5287.229752,1418.0,4700.0
943.0,5157541022.0,5157.541022,1146.0,4800.0
944.0,3171012390.0,3171.01239,320.0,6800.0
945.0,7992053900.0,7992.0539,2596.0,2000.0
946.0,5212858214.0,5212.858214,1166.0,4800.0
947.0,8868936340.0,8868.93634,559.0,1100.0
948.0,8823493573.0,8823.493573,859.0,1200.0
949.0,1381328485.0,1381.328485,1309.0,8600.0
950.0,8798873824.0,8798.873824,1868.0,1200.0
951.0,7014265542.0,7014.265542,136.0,3000.0
952.0,2477953039.0,2477.953039,2823.0,7500.0
953.0,6039780138.0,6039.780138,1610.0,4000.0
954.0,7627759621.0,7627.759621,381.0,2400.0
955.0,4581075953.0,4581.075953,1240.0,5400.0
956.0,2162133325.0,2162.133325,981.0,7800.0
957.0,1983811304.0,1983.811304,465.0,8000.0
958.0,6189115496.0,6189.115496,1411.0,3800.0
959.0,2365517289.0,2365.517289,2302.0,7600.0
960.0,8022990889.0,8022.990889,2684.0,2000.0
961.0,1645793452.0,1645.793452,2365.0,8400.0
962.0,3229041274.0,3229.041274,2056.0,6800.0
963.0,1727953510.0,1727.95351,528.0,8300.0
964.0,9908091005.0,9908.091005,1181.0,100.0
965.0,3179812878.0,3179.812878,602.0,6800.0
966.0,8378938823.0,8378.938823,1975.0,1600.0
967.0,2351977450.0,2351.97745,1576.0,7600.0
968.0,5523121955.0,5523.121955,1911.0,4500.0
969.0,2661464746.0,2661.464746,1304.0,7300.0
970.0,2596074552.0,2596.074552,1452.0,7400.0
971.0,2840135667.0,2840.135667,1215.0,7200.0
972.0,7884430606.0,7884.430606,2959.0,2100.0
973.0,6375181415.0,6375.181415,2623.0,3600.0
974.0,3109856638.0,3109.856638,1029.0,6900.0
975.0,7877167487.0,7877.167487,1191.0,2100.0
976.0,1505085985.0,1505.085985,693.0,8500.0
977.0,7787618114.0,7787.618114,595.0,2200.0
978.0,7115749909.0,7115.749909,2195.0,2900.0
979.0,9978999727.0,9978.999727,2851.0,0.0
980.0,2741860787.0,2741.860787,1416.0,7300.0
981.0,7256885404.0,7256.885404,2443.0,2700.0
982.0,1479290300.0,1479.2903,909.0,8500.0
983.0,5098866521.0,5098.866521,1875.0,4900.0
984.0,7302465848.0,7302.465848,1896.0,2700.0
985.0,2470215360.0,2470.21536,1115.0,7500.0
986.0,6519684454.0,6519.684454,1626.0,3500.0
987.0,8979649175.0,8979.649175,2505.0,1000.0
988.0,2651062131.0,2651.062131,1415.0,7300.0
989.0,9008419487.0,9008.419487,578.0,1000.0
990.0,1404672006.0,1404.672006,701.0,8600.0
991.0,9631019214.0,9631.019214,2829.0,400.0
992.0,8897361044.0,8897.361044,263.0,1100.0
993.0,8103235382.0,8103.235382,2379.0,1900.0
994.0,3260596102.0,3260.596102,1448.0,6700.0
995.0,8125439106.0,8125.439106,266.0,1900.0
996.0,8521883772.0,8521.883772,1751.0,1500.0
997.0,1149002778.0,1149.002778,117.0,8900.0
998.0,6230745485.0,6230.745485,198.0,3800.0
999.0,4198019612.0,4198.019612,319.0,5800.0
