task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority
900.0,1678579894.0,1678579894.0,171.0,83.0
901.0,3185141441.0,3185141441.0,1279.0,68.0
902.0,5296997950.0,5296997950.0,2065.0,47.0
903.0,1282478180.0,1282478180.0,2907.0,87.0
904.0,2883526686.0,2883526686.0,1511.0,71.0
905.0,7850791591.0,7850791591.0,754.0,21.0
906.0,5408474279.0,5408474279.0,2863.0,46.0
907.0,3895492511.0,3895492511.0,1998.0,61.0
908.0,2842305978.0,2842305978.0,1361.0,72.0
909.0,3335931576.0,3335931576.0,695.0,67.0
910.0,6060111604.0,6060111604.0,2013.0,39.0
911.0,3501420871.0,3501420871.0,1324.0,65.0
912.0,3016647143.0,3016647143.0,1562.0,70.0
913.0,4194143751.0,4194143751.0,256.0,58.0
914.0,4413936215.0,4413936215.0,1409.0,56.0
915.0,6395759595.0,6395759595.0,1768.0,36.0
916.0,5245396899.0,5245396899.0,1932.0,48.0
917.0,7017792534.0,7017792534.0,2276.0,30.0
918.0,3071905067.0,3071905067.0,1324.0,69.0
919.0,8697731129.0,8697731129.0,1480.0,13.0
920.0,5931148010.0,5931148010.0,628.0,41.0
921.0,7573243864.0,7573243864.0,1343.0,24.0
922.0,5118670156.0,5118670156.0,1976.0,49.0
923.0,3525981839.0,3525981839.0,2783.0,65.0
924.0,5560560944.0,5560560944.0,2187.0,44.0
925.0,6868873456.0,6868873456.0,829.0,31.0
926.0,4976385652.0,4976385652.0,1023.0,50.0
927.0,1124633834.0,1124633834.0,1198.0,89.0
928.0,8767399890.0,8767399890.0,1970.0,12.0
929.0,1629801787.0,1629801787.0,240.0,84.0
930.0,8036747625.0,8036747625.0,1800.0,20.0
931.0,8591137684.0,8591137684.0,2277.0,14.0
932.0,6632077207.0,6632077207.0,364.0,34.0
933.0,1718275835.0,1718275835.0,2668.0,83.0
934.0,1803753890.0,1803753890.0,1605.0,82.0
935.0,1504402604.0,1504402604.0,1581.0,85.0
936.0,9909122971.0,9909122971.0,2576.0,1.0
937.0,4539952210.0,4539952210.0,2270.0,55.0
938.0,7674048081.0,7674048081.0,2910.0,23.0
939.0,1500901625.0,1500901625.0,1588.0,85.0
940.0,5513786390.0,5513786390.0,2845.0,45.0
941.0,3911825567.0,3911825567.0,1362.0,61.0
942.0,5287229752.0,5287229752.0,1418.0,47.0
943.0,5157541022.0,5157541022.0,1146.0,48.0
944.0,3171012390.0,3171012390.0,320.0,68.0
945.0,7992053900.0,7992053900.0,2596.0,20.0
946.0,5212858214.0,5212858214.0,1166.0,48.0
947.0,8868936340.0,8868936340.0,559.0,11.0
948.0,8823493573.0,8823493573.0,859.0,12.0
949.0,1381328485.0,1381328485.0,1309.0,86.0
950.0,8798873824.0,8798873824.0,1868.0,12.0
951.0,7014265542.0,7014265542.0,136.0,30.0
952.0,2477953039.0,2477953039.0,2823.0,75.0
953.0,6039780138.0,6039780138.0,1610.0,40.0
954.0,7627759621.0,7627759621.0,381.0,24.0
955.0,4581075953.0,4581075953.0,1240.0,54.0
956.0,2162133325.0,2162133325.0,981.0,78.0
957.0,1983811304.0,1983811304.0,465.0,80.0
958.0,6189115496.0,6189115496.0,1411.0,38.0
959.0,2365517289.0,2365517289.0,2302.0,76.0
960.0,8022990889.0,8022990889.0,2684.0,20.0
961.0,1645793452.0,1645793452.0,2365.0,84.0
962.0,3229041274.0,3229041274.0,2056.0,68.0
963.0,1727953510.0,1727953510.0,528.0,83.0
964.0,9908091005.0,9908091005.0,1181.0,1.0
965.0,3179812878.0,3179812878.0,602.0,68.0
966.0,8378938823.0,8378938823.0,1975.0,16.0
967.0,2351977450.0,2351977450.0,1576.0,76.0
968.0,5523121955.0,5523121955.0,1911.0,45.0
969.0,2661464746.0,2661464746.0,1304.0,73.0
970.0,2596074552.0,2596074552.0,1452.0,74.0
971.0,2840135667.0,2840135667.0,1215.0,72.0
972.0,7884430606.0,7884430606.0,2959.0,21.0
973.0,6375181415.0,6375181415.0,2623.0,36.0
974.0,3109856638.0,3109856638.0,1029.0,69.0
975.0,7877167487.0,7877167487.0,1191.0,21.0
976.0,1505085985.0,1505085985.0,693.0,85.0
977.0,7787618114.0,7787618114.0,595.0,22.0
978.0,7115749909.0,7115749909.0,2195.0,29.0
979.0,9978999727.0,9978999727.0,2851.0,0.0
980.0,2741860787.0,2741860787.0,1416.0,73.0
981.0,7256885404.0,7256885404.0,2443.0,27.0
982.0,1479290300.0,1479290300.0,909.0,85.0
983.0,5098866521.0,5098866521.0,1875.0,49.0
984.0,7302465848.0,7302465848.0,1896.0,27.0
985.0,2470215360.0,2470215360.0,1115.0,75.0
986.0,6519684454.0,6519684454.0,1626.0,35.0
987.0,8979649175.0,8979649175.0,2505.0,10.0
988.0,2651062131.0,2651062131.0,1415.0,73.0
989.0,9008419487.0,9008419487.0,578.0,10.0
990.0,1404672006.0,1404672006.0,701.0,86.0
991.0,9631019214.0,9631019214.0,2829.0,4.0
992.0,8897361044.0,8897361044.0,263.0,11.0
993.0,8103235382.0,8103235382.0,2379.0,19.0
994.0,3260596102.0,3260596102.0,1448.0,67.0
995.0,8125439106.0,8125439106.0,266.0,19.0
996.0,8521883772.0,8521883772.0,1751.0,15.0
997.0,1149002778.0,1149002778.0,117.0,89.0
998.0,6230745485.0,6230745485.0,198.0,38.0
999.0,4198019612.0,4198019612.0,319.0,58.0
