task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
9,6427233209,6427233209,3176,37,3
131,1036897393,1036897393,759,57,6
288,5698032535,5698032535,1634,32,0
615,3669417218,3669417218,2433,12,3
599,3530192261,3530192261,2730,50,5
532,4734015079,4734015079,2240,47,5
944,3881417896,3881417896,1836,11,0
350,6907730426,6907730426,2470,42,7
0,6462466175,6462466175,3789,76,5
526,2755268066,2755268066,1705,79,6
309,2797963347,2797963347,3971,8,3
502,2995056210,2995056210,3632,91,5
717,2942705682,2942705682,1757,93,6
841,2277673676,2277673676,3354,11,3
940,6295051197,6295051197,3210,56,5
156,1589943259,1589943259,921,75,6
21,6479180481,6479180481,3798,34,3
76,6651292380,6651292380,3778,74,5
649,2423770002,2423770002,3947,7,3
713,2575752266,2575752266,1626,74,6
721,3400098615,3400098615,2518,92,5
748,2903323522,2903323522,2094,49,6
272,3149676933,3149676933,2882,75,5
68,6729504539,6729504539,3663,14,2
770,3977496780,3977496780,1925,74,6
931,4283479930,4283479930,2346,32,3
459,2308884907,2308884907,3983,54,5
889,2368766927,2368766927,2825,43,5
300,3478082327,3478082327,1775,52,6
466,2169891643,2169891643,1953,62,6
239,5402459459,5402459459,1264,87,6
953,3856091025,3856091025,3363,63,5
97,6953493942,6953493942,3092,10,2
435,2430289215,2430289215,1751,46,6
572,5654946113,5654946113,2402,59,5
669,5587624894,5587624894,2312,42,5
906,6524700103,6524700103,1524,99,6
458,3246921333,3246921333,1323,66,6
992,4493648776,4493648776,2998,58,5
787,5702138970,5702138970,3201,49,5
231,2656654994,2656654994,1954,47,6
204,3277773911,3277773911,2686,48,5
42,6453807975,6453807975,3331,27,3
696,6548996865,6548996865,1833,86,6
596,6046867517,6046867517,1733,97,6
188,272595531,272595531,665,89,6
727,2044791484,2044791484,1459,2,0
852,3451811149,3451811149,1220,78,6
166,1454162045,1454162045,291,11,0
157,468847989,468847989,794,16,0
