task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
968,6945817934,6945817934,3310,31,2
174,673768941,673768941,706,39,0
460,8687143258,8687143258,4900,62,7
520,5250128884,5250128884,6552,6,3
487,5701487076,5701487076,7033,60,5
720,9337145694,9337145694,6113,44,7
319,3386358972,3386358972,1001,79,6
458,7556699360,7556699360,7460,93,7
375,4291678099,4291678099,6609,94,5
70,7042004289,7042004289,4837,29,2
334,4016568456,4016568456,3133,19,3
822,8553189494,8553189494,7579,18,2
913,6876280195,6876280195,6563,61,5
280,2445282297,2445282297,1581,83,6
918,6826109378,6826109378,6559,16,2
222,8375903046,8375903046,5815,75,7
702,4435560602,4435560602,4260,77,5
14,9585611411,9585611411,4796,73,7
553,2460044909,2460044909,2210,92,5
866,3483348136,3483348136,5031,28,3
537,7879050891,7879050891,4526,92,7
921,4881269649,4881269649,4671,1,3
325,4626315493,4626315493,1555,38,6
396,3446771176,3446771176,7691,38,3
376,9641676300,9641676300,6415,23,2
456,7355010536,7355010536,6359,81,7
541,8537369891,8537369891,4224,81,7
742,6650121043,6650121043,2958,78,5
124,583639876,583639876,714,89,6
0,7455165094,7455165094,5553,38,2
324,2717756036,2717756036,6370,68,5
165,1195230318,1195230318,675,90,6
867,8698834609,8698834609,4488,44,7
364,7683421607,7683421607,2931,77,7
349,7141413425,7141413425,4272,41,7
783,5774063752,5774063752,1013,66,6
806,3395529047,3395529047,7799,85,5
255,6256398711,6256398711,7983,83,5
841,2958720165,2958720165,1331,58,6
215,4530603908,4530603908,5589,86,5
717,4310812506,4310812506,3936,16,3
126,1985308142,1985308142,961,76,6
800,7565967986,7565967986,2091,11,2
136,1586124111,1586124111,433,31,0
94,8210903378,8210903378,5554,94,7
439,2084472486,2084472486,7492,30,3
890,9700843563,9700843563,6296,48,7
213,2932255612,2932255612,2168,34,3
380,4444381676,4444381676,4961,39,3
641,5693787104,5693787104,2925,16,3
