task_id,task_size,frequencyNeed_claimed,memoryNeed_claimed,priority,cluster
47,9217252924,9217252924,3792,39,7
16,8149644703,8149644703,3014,44,7
694,3856633014,3856633014,3247,44,5
570,2002899369,2002899369,1345,51,6
41,6230978410,6230978410,3124,74,5
540,5752333449,5752333449,1069,51,6
318,2738721416,2738721416,2466,21,3
624,3977730930,3977730930,3910,84,5
305,3423507236,3423507236,1409,76,6
13,9306861279,9306861279,3104,80,7
38,6375065697,6375065697,3760,34,3
48,8214127096,8214127096,3328,80,7
20,6429450170,6429450170,3916,26,3
69,8460487921,8460487921,3562,11,2
775,5042404697,5042404697,2628,79,5
551,2216164155,2216164155,2164,60,5
786,6286897012,6286897012,1216,49,6
447,2196695706,2196695706,3180,42,3
844,2900677853,2900677853,1470,4,0
303,6389655254,6389655254,2703,98,5
135,1275966058,1275966058,198,4,0
377,5455752960,5455752960,2652,22,3
461,4017438174,4017438174,2674,57,5
879,2388580510,2388580510,2588,86,5
364,4627809335,4627809335,3279,67,5
741,5144911675,5144911675,3106,83,5
718,3412824410,3412824410,1064,98,6
59,8023521412,8023521412,3715,85,7
713,4027084047,4027084047,3479,78,5
851,3875749187,3875749187,3911,61,5
344,3797140365,3797140365,2086,40,3
588,2222508409,2222508409,3607,46,5
371,3572303229,3572303229,3605,54,5
396,6745518736,6745518736,1563,91,1
712,4946737207,4946737207,1785,19,0
977,3063742184,3063742184,1593,70,6
407,6614438179,6614438179,3387,23,3
527,2460329733,2460329733,1903,32,0
797,3326327562,3326327562,2519,75,5
87,9023510295,9023510295,3961,43,7
345,6089879314,6089879314,1348,22,0
327,6431892996,6431892996,2948,12,3
51,9084096863,9084096863,3230,90,7
29,6409417724,6409417724,3143,77,5
888,4649778283,4649778283,1463,34,0
986,2389813388,2389813388,3652,94,5
756,3206932726,3206932726,1811,44,6
511,2716712583,2716712583,1191,47,6
481,3550063673,3550063673,1159,75,6
355,6907578396,6907578396,3066,25,2
